1.000000 1.673527 1.694465 1.479299 1.356550 1.311737
1.100000 1.748728 1.612123 1.514532 1.376779 1.305777
1.200000 1.740542 1.617962 1.426505 1.352088 1.297038
1.300000 1.783414 1.554480 1.477312 1.375948 1.340469
1.400000 1.778944 1.592042 1.408621 1.372361 1.321173
1.500000 1.782947 1.571162 1.410441 1.333344 1.306306
1.600000 1.742092 1.493102 1.412777 1.337525 1.333145
1.700000 1.647282 1.534120 1.344454 1.341732 1.291180
1.800000 1.740623 1.521198 1.403898 1.365142 1.314481
1.900000 1.762208 1.484165 1.338061 1.280199 1.304573
2.000000 1.761837 1.422018 1.392395 1.304845 1.309385
2.100000 1.751490 1.492829 1.369384 1.320336 1.316854
2.200000 1.739209 1.432580 1.309794 1.331355 1.313388
2.300000 1.687096 1.444222 1.344498 1.281321 1.274541
2.400000 1.723102 1.450138 1.318945 1.294809 1.330551
2.500000 1.691910 1.417182 1.347088 1.275384 1.284364
2.600000 1.640275 1.451182 1.306456 1.327971 1.315739
2.700000 1.712096 1.379057 1.302083 1.331250 1.303256
2.800000 1.668727 1.445168 1.309097 1.306531 1.303484
2.900000 1.670275 1.354371 1.315064 1.286819 1.315397
3.000000 1.641874 1.359783 1.332374 1.319099 1.312342
3.100000 1.609504 1.405843 1.291741 1.354039 1.305269
3.200000 1.597127 1.384340 1.343508 1.304514 1.277057
3.300000 1.636669 1.352536 1.288122 1.324353 1.273430
3.400000 1.620869 1.334772 1.333515 1.339648 1.328100
3.500000 1.598586 1.340975 1.306598 1.280371 1.312754
3.600000 1.522854 1.351899 1.306052 1.264183 1.284206
3.700000 1.603841 1.335624 1.311388 1.366302 1.282243
3.800000 1.530518 1.346700 1.319583 1.312110 1.332840
3.900000 1.618910 1.325239 1.292081 1.310051 1.296989
4.000000 1.522745 1.319374 1.301146 1.316052 1.324444
4.100000 1.510879 1.318938 1.334251 1.330267 1.276283
4.200000 1.515163 1.356956 1.297381 1.337544 1.282405
4.300000 1.537335 1.347225 1.277397 1.262304 1.333675
4.400000 1.577225 1.360928 1.305935 1.259418 1.275695
4.500000 1.568105 1.342766 1.293794 1.293389 1.302487
4.600000 1.485896 1.328052 1.337971 1.329585 1.291220
4.700000 1.494806 1.353191 1.277133 1.254847 1.319510
4.800000 1.512539 1.328879 1.298272 1.272213 1.297119
4.900000 1.514224 1.271929 1.272470 1.283929 1.309895
5.000000 1.539429 1.313328 1.333520 1.304821 1.295576
5.100000 1.470434 1.290844 1.297564 1.350949 1.267696
5.200000 1.471247 1.325243 1.250152 1.303969 1.320824
5.300000 1.470486 1.298522 1.318449 1.322557 1.290016
5.400000 1.448026 1.316793 1.330471 1.278993 1.288135
5.500000 1.450888 1.336673 1.310408 1.271288 1.321724
5.600000 1.487835 1.324798 1.299816 1.319157 1.280846
5.700000 1.533860 1.345912 1.315997 1.311151 1.245046
5.800000 1.472323 1.274167 1.297282 1.284850 1.282071
5.900000 1.447857 1.296669 1.299294 1.275487 1.351130
6.000000 1.447142 1.307989 1.259256 1.332583 1.277413
