1.000000 2.862094 1.828008 1.667822
1.100000 2.889677 1.881322 1.682017
1.200000 2.846584 1.806717 1.678693
1.300000 2.816709 1.888227 1.650526
1.400000 2.849670 1.858676 1.688963
1.500000 2.835731 1.975972 1.589944
1.600000 2.708395 1.921368 1.613063
1.700000 2.684063 1.903776 1.618308
1.800000 2.649064 1.883591 1.578082
1.900000 2.563929 1.945388 1.596086
2.000000 2.495122 1.982384 1.533303
2.100000 2.414601 2.016260 1.559792
2.200000 2.326395 1.980250 1.533181
2.300000 2.315770 2.048830 1.524238
2.400000 2.241986 2.105288 1.558427
2.500000 2.253722 2.094882 1.528285
2.600000 2.234784 2.079595 1.535960
2.700000 2.279111 2.101635 1.488332
2.800000 2.321298 2.129369 1.511976
2.900000 2.408246 2.129058 1.489693
3.000000 2.368228 2.163335 1.475403
3.100000 2.472358 2.177387 1.515439
3.200000 2.491596 2.198300 1.491329
3.300000 2.539474 2.170291 1.505412
3.400000 2.529700 2.150305 1.478976
3.500000 2.541307 2.178895 1.479485
3.600000 2.515540 2.128306 1.481516
3.700000 2.492480 2.174274 1.490687
3.800000 2.453883 2.159968 1.519229
3.900000 2.471609 2.175197 1.510928
4.000000 2.363431 2.172625 1.497639
4.100000 2.319878 2.143840 1.521245
4.200000 2.295010 2.199117 1.478685
4.300000 2.249800 2.147332 1.488048
4.400000 2.178099 2.191189 1.511810
4.500000 2.122004 2.113213 1.474540
4.600000 2.125036 2.057260 1.525895
4.700000 2.140631 2.121343 1.530759
4.800000 2.163871 2.122165 1.528929
4.900000 2.168573 2.110822 1.531454
5.000000 2.205188 2.089466 1.537779
5.100000 2.242386 2.084583 1.520031
5.200000 2.288449 2.092552 1.538833
5.300000 2.298004 2.114315 1.541595
5.400000 2.349908 2.055925 1.579328
5.500000 2.353400 2.059386 1.577153
5.600000 2.418464 2.092322 1.577789
5.700000 2.367436 2.050451 1.591901
5.800000 2.376043 2.021472 1.600244
5.900000 2.376575 2.016155 1.602983
6.000000 2.404764 1.943887 1.605451
