3.505051 1.000000 0.966892 0.910754 0.802405 0.680471 0.636818 0.649782 0.602384
3.545455 1.000000 0.973184 0.919393 0.816660 0.709020 0.661228 0.672834 0.619417
3.585859 1.000000 0.976912 0.920853 0.833841 0.732189 0.683065 0.698178 0.637622
3.626263 1.000000 0.980146 0.928146 0.851109 0.747757 0.702720 0.715388 0.656589
3.666667 1.000000 0.982214 0.933220 0.863795 0.768381 0.722735 0.731733 0.679747
3.707071 1.000000 0.983711 0.936730 0.874408 0.783480 0.737630 0.742111 0.695203
3.747475 1.000000 0.985167 0.941369 0.885907 0.802139 0.751834 0.755697 0.712333
3.787879 1.000000 0.989147 0.949596 0.898345 0.811731 0.761225 0.767753 0.727925
3.828283 1.000000 0.989982 0.955033 0.902175 0.822935 0.783766 0.779469 0.740777
3.868687 1.000000 0.991187 0.959550 0.909150 0.831872 0.797511 0.792287 0.754555
3.909091 1.000000 0.991395 0.961664 0.916086 0.841905 0.817026 0.804218 0.768521
3.949495 1.000000 0.991604 0.964106 0.918449 0.855863 0.822855 0.816330 0.782377
3.989899 1.000000 0.991812 0.964979 0.921585 0.861656 0.833269 0.827138 0.793714
4.030303 1.000000 0.992085 0.969504 0.927136 0.869993 0.838901 0.838252 0.803654
4.070707 1.000000 0.992950 0.970939 0.931969 0.879760 0.845286 0.846615 0.813154
4.111111 1.000000 0.994109 0.972630 0.936293 0.886363 0.854880 0.858358 0.828013
4.151515 1.000000 0.994380 0.974426 0.940835 0.893183 0.870743 0.862772 0.835141
4.191919 1.000000 0.994651 0.981170 0.950201 0.902073 0.880665 0.874921 0.845509
4.232323 1.000000 0.994922 0.982128 0.953485 0.906890 0.891669 0.881217 0.860153
4.272727 1.000000 0.995270 0.985017 0.958046 0.913250 0.896868 0.883901 0.868900
4.313131 1.000000 0.995649 0.988403 0.964192 0.920345 0.902534 0.888873 0.873278
4.353535 1.000000 0.996115 0.989243 0.964938 0.926257 0.907568 0.895795 0.879807
4.393939 1.000000 0.997114 0.989769 0.967157 0.935005 0.915238 0.900055 0.887518
4.434343 1.000000 0.997380 0.991039 0.968327 0.936789 0.917849 0.908245 0.896706
4.474747 1.000000 0.997645 0.992033 0.971685 0.937761 0.924109 0.917314 0.905211
4.515152 1.000000 0.997911 0.992618 0.976943 0.941418 0.927683 0.924191 0.907688
4.555556 1.000000 0.998264 0.993230 0.979168 0.942808 0.932720 0.929570 0.915089
4.595960 1.000000 0.998659 0.993891 0.983040 0.947982 0.935115 0.933553 0.920491
4.636364 1.000000 0.999034 0.995320 0.987177 0.949583 0.942580 0.938409 0.927028
4.676768 1.000000 0.999282 0.997033 0.988056 0.953543 0.947924 0.943297 0.931313
4.717172 1.000000 0.999530 0.997323 0.989251 0.955665 0.952466 0.945557 0.935363
4.757576 1.000000 0.999779 0.997614 0.990243 0.958859 0.958245 0.947540 0.937850
4.797980 1.000000 1.000000 0.997904 0.991516 0.964537 0.960546 0.951231 0.942140
4.838384 1.000000 1.000000 0.998191 0.993125 0.968014 0.963641 0.955274 0.946116
4.878788 1.000000 1.000000 0.998475 0.993678 0.970695 0.967540 0.963785 0.948750
4.919192 1.000000 1.000000 0.998760 0.995152 0.972599 0.970308 0.967169 0.951919
4.959596 1.000000 1.000000 0.999010 0.995855 0.975558 0.972423 0.970282 0.953467
5.000000 1.000000 1.000000 0.999070 0.996135 0.978058 0.973298 0.974083 0.958808
