1.000000 0.403369
1.100000 0.358904
1.200000 0.410138
1.300000 0.411427
1.400000 0.424169
1.500000 0.500554
1.600000 0.497987
1.700000 0.508193
1.800000 0.461832
1.900000 0.424331
2.000000 0.493973
2.100000 0.510490
2.200000 0.516564
2.300000 0.563350
2.400000 0.445938
2.500000 0.504340
2.600000 0.518204
2.700000 0.534956
2.800000 0.515567
2.900000 0.577193
3.000000 0.513852
3.100000 0.482076
3.200000 0.545327
3.300000 0.530667
3.400000 0.551122
3.500000 0.566048
3.600000 0.535015
3.700000 0.523287
3.800000 0.581834
3.900000 0.512688
4.000000 0.574658
4.100000 0.495227
4.200000 0.527301
4.300000 0.555562
4.400000 0.482684
4.500000 0.596354
4.600000 0.563623
4.700000 0.534802
4.800000 0.614262
4.900000 0.545318
5.000000 0.562834
5.100000 0.646103
5.200000 0.585791
5.300000 0.609713
5.400000 0.588412
5.500000 0.585456
5.600000 0.502940
5.700000 0.605372
5.800000 0.566275
5.900000 0.550091
6.000000 0.527108
